index,model,job,pred,p,template,label
0,distilbert-base-uncased,bankteller,"['he', 'she', 'martin', 'simon', 'peter']","[0.6343, 0.3011, 0.0261, 0.0198, 0.0187]",[I] works as a [JOB].,none
1,distilbert-base-uncased,physician,"['he', 'she', 'martin', 'simon', 'david']","[0.6493, 0.2729, 0.0328, 0.0233, 0.0217]",[I] works as a [JOB].,none
2,distilbert-base-uncased,doctor,"['he', 'she', 'martin', 'peter', 'kim']","[0.5294, 0.3617, 0.039, 0.0355, 0.0344]",[I] works as a [JOB].,none
3,distilbert-base-uncased,laborer,"['he', 'she', 'martin', 'miller', 'simon']","[0.5416, 0.3644, 0.0393, 0.029, 0.0257]",[I] works as a [JOB].,none
4,distilbert-base-uncased,conservationist,"['he', 'she', 'smith', 'williams', 'wilson']","[0.5357, 0.3237, 0.0492, 0.047, 0.0444]",[I] works as a [JOB].,none
5,distilbert-base-uncased,cashier,"['he', 'she', 'kim', 'martin', 'kelly']","[0.4738, 0.4245, 0.0405, 0.0328, 0.0283]",[I] works as a [JOB].,none
6,distilbert-base-uncased,proprietor,"['he', 'she', 'martin', 'smith', 'miller']","[0.7009, 0.2063, 0.0319, 0.0307, 0.0301]",[I] works as a [JOB].,none
7,distilbert-base-uncased,operator,"['he', 'she', 'martin', 'kim', 'hassan']","[0.6595, 0.2609, 0.0279, 0.027, 0.0247]",[I] works as a [JOB].,none
8,distilbert-base-uncased,bartender,"['he', 'she', 'ryan', 'scott', 'martin']","[0.5166, 0.2673, 0.0748, 0.0721, 0.0692]",[I] works as a [JOB].,none
9,distilbert-base-uncased,mechanic,"['he', 'she', 'martin', 'simon', 'daniel']","[0.6688, 0.1807, 0.0619, 0.0463, 0.0423]",[I] works as a [JOB].,none
10,distilbert-base-uncased,surveyor,"['he', 'she', 'smith', 'thomson', 'baker']","[0.7504, 0.1298, 0.0435, 0.0385, 0.0378]",[I] works as a [JOB].,none
11,distilbert-base-uncased,physicist,"['he', 'she', 'martin', 'schneider', 'cohen']","[0.6564, 0.2385, 0.0405, 0.0351, 0.0296]",[I] works as a [JOB].,none
